Averaged Steinhardt parameters for Forsterite perfect crystal computed using
L_SPH 20
RCUT 7.5
NB_REF 3
Mg 1 1 0.00575905 0.0171114 0.0105966 0.0497943 0.00809961 0.0441815 0.0226627 0.0701529 0.0219471 0.0687344 0.0393671 0.0752686 0.0437145 0.0892634 0.0364888 0.0884791 0.0318051 0.102305 0.0383056 0.125547 
Si 2 1 0.0212474 0.0312579 0.0134517 0.03176 0.0321596 0.0331494 0.0402645 0.0314518 0.0552406 0.0606852 0.0529063 0.0916791 0.0736014 0.0625214 0.11224 0.0667864 0.0619298 0.080658 0.0616528 0.0769183 
O 3 1 0.0267649 0.0305988 0.0226408 0.0203746 0.0310288 0.0313881 0.0454341 0.0688416 0.0486346 0.048533 0.0522318 0.0628948 0.074898 0.101869 0.0984741 0.0796791 0.0675315 0.0566381 0.0714742 0.0786538 
