Steinhardt parameters for Periclase perfect crystal computed using
L_SPH 20
RCUT 5
NB_REF 2
Mg 1 7.48331 4.60895e-16 1.93572e-16 2.55605e-16 0.864126 3.16953e-16 0.453452 5.52579e-16 1.52919 9.1733e-16 1.38385 1.79339e-15 1.84701 1.14401e-15 0.426582 2.4203e-15 2.14714 1.30282e-15 0.559996 2.90046e-15 2.40088 
O 2 7.48331 3.80721e-16 2.15692e-16 2.60358e-16 0.864126 3.87211e-16 0.453452 5.99384e-16 1.52919 9.34378e-16 1.38385 1.80268e-15 1.84701 1.24091e-15 0.426582 2.37876e-15 2.14714 1.3702e-15 0.559996 2.85679e-15 2.40088 
