Steinhardt parameters averaged over atoms of same specy inside the cutoff radius for SF_HalfB_001 defect in Forsterite crystal computed using
L_SPH 20
RCUT 7.5
NB_REF 3
Si 2 1.05238 0.00305655 0.0266968 0.00316882 0.014506 0.00389507 0.0328998 0.00759215 0.0361506 0.00994124 0.0525012 0.0103681 0.0645808 0.0132697 0.0514783 0.0162897 0.0519104 0.0111471 0.0675603 0.011128 0.0516484 
O 3 1.011 0.00170364 0.0131879 0.00137214 0.0118853 0.00143361 0.00758112 0.00294674 0.0475119 0.0030641 0.0152749 0.00306173 0.0395677 0.00529441 0.065544 0.00647607 0.0506648 0.00576831 0.0374237 0.00509605 0.0523524 
Mg 1 1.02309 0.00248625 0.00701321 0.00225221 0.0128695 0.00249623 0.019089 0.00374327 0.0269039 0.00483441 0.0185774 0.00700655 0.0383661 0.00771187 0.0427232 0.00622576 0.033014 0.00599719 0.0364386 0.00727008 0.0845252 
